location,coordinates,lat,lon
"Altindag, Ankara","['39.9348256', ' 32.8444026']",39.9348256,32.8444026
Üsküdar,"['41.0265498', ' 29.0151321']",41.0265498,29.0151321
Samsun,"['41.2303557', ' 35.9683338']",41.2303557,35.9683338
Diyarbakır,"['38.0814716', ' 40.4297767']",38.0814716,40.4297767
Ankara/Altındağ,"['39.9360124', ' 32.8424903']",39.9360124,32.8424903
İSTANBUL,"['41.006381', ' 28.9758715']",41.006381,28.9758715
İstanbul,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Erzincan- Refahiye,"['39.9027528', ' 38.7681749']",39.9027528,38.7681749
Sivas,"['39.4191717', ' 37.1012388']",39.4191717,37.1012388
Kayseri,"['38.7219011', ' 35.4873214']",38.7219011,35.4873214
Uşak,"['38.609666', ' 29.3306506']",38.609666,29.3306506
Rize,"['40.9569617', ' 40.884428']",40.9569617,40.884428
Altındağ,"['40.7933356', ' 30.8630526']",40.7933356,30.8630526
ADIYAMAN /GERGER,"['37.951535', ' 39.0085671']",37.951535,39.0085671
Erzurum,"['39.90632', ' 41.2727715']",39.90632,41.2727715
Kahramanmaras,"['37.5812744', ' 36.927509']",37.5812744,36.927509
Konya-Meram,"['37.8679527', ' 32.4946514']",37.8679527,32.4946514
İzmir,"['38.23166', ' 27.02997']",38.23166,27.02997
Trabzon,"['40.9098506', ' 39.77715282189265']",40.9098506,39.77715282189265
Kars,"['40.4558435', ' 42.9979531']",40.4558435,42.9979531
Kırşehir,"['39.1461142', ' 34.1605587']",39.1461142,34.1605587
KADIKÖY,"['40.9912355', ' 29.0245385']",40.9912355,29.0245385
Seyhan/ Adana,"['36.9863599', ' 35.3252861']",36.9863599,35.3252861
izmir,"['38.23166', ' 27.02997']",38.23166,27.02997
Ankara,"['39.7160439', ' 32.7059948']",39.7160439,32.7059948
Adana,"['36.9863599', ' 35.3252861']",36.9863599,35.3252861
istanbul,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Sakarya,"['40.7731834', ' 30.481606']",40.7731834,30.481606
