location,coordinates,lat,lon
Ankara,"['39.7160439', '32.7059948']",39.7160439,32.7059948
İstanbul,"['41.0766019', '29.052495']",41.0766019,29.052495
Esenler/İstanbul,"['41.0376175', '28.8824519']",41.0376175,28.8824519
Kayseri,"['38.7219011', '35.4873214']",38.7219011,35.4873214
Bahçelievler/Ankara,"['39.9278078', '32.8264893']",39.9278078,32.8264893
İSTANBUL,"['41.0766019', '29.052495']",41.0766019,29.052495
İzmir,"['38.4237433', '27.1428019']",38.4237433,27.1428019
Kahramanmaraş,"['37.5812744', '36.927509']",37.5812744,36.927509
Üsküdar/İstanbul,"['41.0265498', '29.0151321']",41.0265498,29.0151321
İZMİR,"['38.4237433', '27.1428019']",38.4237433,27.1428019
Trabzon,"['40.9098506', '39.77715282189265']",40.9098506,39.77715282189265
Kars,"['40.4558435', '42.9979531']",40.4558435,42.9979531
Kırşehir,"['39.1461142', '34.1605587']",39.1461142,34.1605587
Gebze/Kocaeli,"['40.8006696', '29.431767']",40.8006696,29.431767
Buca/İzmir,"['38.3880413', '27.1733777']",38.3880413,27.1733777
Sarıyer/İstanbul,"['41.1685803', '29.0572623']",41.1685803,29.0572623
Ordu,"['40.8292569', '37.4082764']",40.8292569,37.4082764
Osmaniye,"['37.0733588', '36.2507673']",37.0733588,36.2507673
,"['46.3144754', '11.0480288']",46.3144754,11.0480288
Maltepe/İstanbul,"['40.9247539', '29.1310782']",40.9247539,29.1310782
Antalya,"['36.8864752', '30.7029585']",36.8864752,30.7029585
Florya/İstanbul,"['40.975948', '28.7910128']",40.975948,28.7910128
Gaziosmanpaşa/İstanbul,"['41.0578305', '28.9122452']",41.0578305,28.9122452
Istanbul,"['41.0766019', '29.052495']",41.0766019,29.052495
Etimesgut/Ankara,"['39.9489423', '32.6620792']",39.9489423,32.6620792
Konya,"['38.0211951', '32.5224943']",38.0211951,32.5224943
ANKARA,"['39.7160439', '32.7059948']",39.7160439,32.7059948
Bartın,"['41.4947715', '32.4354255']",41.4947715,32.4354255
Girne,"['35.3396291', '33.3205287']",35.3396291,33.3205287
Bingöl,"['39.073803', '40.7296181']",39.073803,40.7296181
Mersin,"['36.7978381', '34.6298391']",36.7978381,34.6298391
KAYSERİ,"['38.7219011', '35.4873214']",38.7219011,35.4873214
BURSA,"['40.182737', '29.0675481']",40.182737,29.0675481
Manisa,"['38.8574402', '28.0565711']",38.8574402,28.0565711
Samsun,"['41.2303557', '35.9683338']",41.2303557,35.9683338
GÖLCÜK,"['40.7169247', '29.819588']",40.7169247,29.819588
Diyarbakır,"['37.9162222', '40.2363542']",37.9162222,40.2363542
istanbul,"['41.0766019', '29.052495']",41.0766019,29.052495
Kırklareli,"['41.7078046', '27.6051334']",41.7078046,27.6051334
KOCAELİ,"['40.8216536', '29.9507184']",40.8216536,29.9507184
AYDIN,"['37.8483767', '27.8435878']",37.8483767,27.8435878
Muğla,"['37.1642053', '28.2624288']",37.1642053,28.2624288
Zonguldak,"['41.250324', '31.8389738']",41.250324,31.8389738
Erzurum,"['39.90632', '41.2727715']",39.90632,41.2727715
GAZİMAĞUSA,"['35.1205261', '33.9387919']",35.1205261,33.9387919
Bursa,"['40.182737', '29.0675481']",40.182737,29.0675481
DENİZLİ,"['37.7827875', '29.0966476']",37.7827875,29.0966476
Batman,"['37.7874104', '41.2573924']",37.7874104,41.2573924
Gaziantep,"['37.0628317', '37.3792617']",37.0628317,37.3792617
Aydın,"['37.7405798', '28.0676404']",37.7405798,28.0676404
Kocaeli,"['40.8216536', '29.9507184']",40.8216536,29.9507184
